"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\hooks\useDisclosure.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"d:\1-git\prod\dev-soodam\src\hooks\useRedux.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\1-git\prod\dev-soodam\src\icons\index.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 0, 1, 4, 188
"d:\1-git\prod\dev-soodam\src\icons\svgs\1017280091582962144 (1) 1.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\13724094091679983182 1.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\1-git\prod\dev-soodam\src\icons\svgs\18237869081579156621 1.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\1-git\prod\dev-soodam\src\icons\svgs\20016826761595759881 1.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\1-git\prod\dev-soodam\src\icons\svgs\3d-cube-scan.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\3d-rotate.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\3dcube2.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\Bed.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\Eliipse.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\1-git\prod\dev-soodam\src\icons\svgs\Frame.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\Group 1000011001.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\Group 1000011157.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\Group 7.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\Group.svg", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 37
"d:\1-git\prod\dev-soodam\src\icons\svgs\Send.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\Upload icon.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\Vector (1).svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\Vector (2).svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\Vector 395.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
